"SHA256","Copies","BytesPerFile","PotentialExtraBytesInGroup","AbsolutePath"
"7BE1601BA77645283B250E1AF3262BFE607A1BEE8DFDA61AECB9010BCD266A00","3","14010486","28020972","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\MainFont SDF Atlas_0.png"
"7BE1601BA77645283B250E1AF3262BFE607A1BEE8DFDA61AECB9010BCD266A00","3","14010486","28020972","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\MainFont SDF Atlas_1.png"
"7BE1601BA77645283B250E1AF3262BFE607A1BEE8DFDA61AECB9010BCD266A00","3","14010486","28020972","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\MainFont SDF Atlas_2.png"
"AA22D03D14B83A15F27A092AC21191FD83A62A465563F9CC26C8B137CD2663D8","2","22576360","22576360","D:\unity程序\tlfdj\Assets\OriginalContent\Font\STHeiti-Light-3_0.ttf"
"AA22D03D14B83A15F27A092AC21191FD83A62A465563F9CC26C8B137CD2663D8","2","22576360","22576360","D:\unity程序\tlfdj\Assets\OriginalContent\Font\STHeiti-Light-3.ttf"
"A85F19591E681993D84B2BD29E5FF8C3F6228E69657CAEB54BB363A330394432","5","3640102","14560408","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\PLC_Albedo_1.png"
"A85F19591E681993D84B2BD29E5FF8C3F6228E69657CAEB54BB363A330394432","5","3640102","14560408","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\PLC_Albedo_2.png"
"A85F19591E681993D84B2BD29E5FF8C3F6228E69657CAEB54BB363A330394432","5","3640102","14560408","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\PLC_Albedo_3.png"
"A85F19591E681993D84B2BD29E5FF8C3F6228E69657CAEB54BB363A330394432","5","3640102","14560408","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\PLC_Albedo_4.png"
"A85F19591E681993D84B2BD29E5FF8C3F6228E69657CAEB54BB363A330394432","5","3640102","14560408","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\PLC_Albedo_5.png"
"A8D5BF0AF7A6B5D18603A86F4F1D61C63EB1590EAA491DE8721012DC5585F4AE","2","10767346","10767346","D:\unity程序\tlfdj\Assets\OriginalContent\Mesh\NONE_0.asset"
"A8D5BF0AF7A6B5D18603A86F4F1D61C63EB1590EAA491DE8721012DC5585F4AE","2","10767346","10767346","D:\unity程序\tlfdj\Assets\OriginalContent\Mesh\NONE_1.asset"
"A656C10B003FDC6EBDC400BE1E61428EF82D8CED5EC1BB2B296F52656E2C71D3","2","8762783","8762783","D:\unity程序\tlfdj\Assets\OriginalContent\Mesh\Object015_2.asset"
"A656C10B003FDC6EBDC400BE1E61428EF82D8CED5EC1BB2B296F52656E2C71D3","2","8762783","8762783","D:\unity程序\tlfdj\Assets\OriginalContent\Mesh\Object015_3.asset"
"4E2D9BFDBBD263F847FA8C991590179CE31B2F1E22F532362195CF0B9F6BD5C7","3","3771770","7543540","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_03 - Default_Normal_0.png"
"4E2D9BFDBBD263F847FA8C991590179CE31B2F1E22F532362195CF0B9F6BD5C7","3","3771770","7543540","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_03 - Default_Normal_1.png"
"4E2D9BFDBBD263F847FA8C991590179CE31B2F1E22F532362195CF0B9F6BD5C7","3","3771770","7543540","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_03 - Default_Normal_2.png"
"51E6EDB1E0759799972A2B38F2AF94FEAE00ACC747058B203BC82DE884BC3FD0","2","4487633","4487633","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\DianXiang_ling_0.png"
"51E6EDB1E0759799972A2B38F2AF94FEAE00ACC747058B203BC82DE884BC3FD0","2","4487633","4487633","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\DianXiang_ling_2.png"
"9158A661B09ABFC949C083B49E31E78A0103E97634B76E985C233C66CA70B53A","2","4138496","4138496","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_01 - Default_MetallicSmoothness_0.png"
"9158A661B09ABFC949C083B49E31E78A0103E97634B76E985C233C66CA70B53A","2","4138496","4138496","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_01 - Default_MetallicSmoothness_1.png"
"8A6E63B44A2EB4B41A01BB4494ECD2208A30B2A6AE65D46EA131582008275A78","3","1970269","3940538","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_03---Default_AlbedoTransparency_0.png"
"8A6E63B44A2EB4B41A01BB4494ECD2208A30B2A6AE65D46EA131582008275A78","3","1970269","3940538","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_03---Default_AlbedoTransparency_1.png"
"8A6E63B44A2EB4B41A01BB4494ECD2208A30B2A6AE65D46EA131582008275A78","3","1970269","3940538","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_03---Default_AlbedoTransparency_2.png"
"DC6D0DBDE73D8A8B55AE710ABED78AFEDC3525174DA9E8013A3585C7CFF9CCD9","2","2964711","2964711","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\ZHUANZ_01 - Default_MetallicSmoothness_0.png"
"DC6D0DBDE73D8A8B55AE710ABED78AFEDC3525174DA9E8013A3585C7CFF9CCD9","2","2964711","2964711","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\ZHUANZ_01 - Default_MetallicSmoothness_1.png"
"C256B727DB12E9869E32F78F8967FCF7402200DAD8104440CAA29AE379E18D4C","2","2934855","2934855","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01--Default_AlbedoTransparency_0.png"
"C256B727DB12E9869E32F78F8967FCF7402200DAD8104440CAA29AE379E18D4C","2","2934855","2934855","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01--Default_AlbedoTransparency_1.png"
"6764BCEFAE2953FF151B24459B24BEB1E9AC6111BACCCF1AB37DDD54774014DB","2","2867502","2867502","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01- Default_MetallicSmoothness_0.png"
"6764BCEFAE2953FF151B24459B24BEB1E9AC6111BACCCF1AB37DDD54774014DB","2","2867502","2867502","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01- Default_MetallicSmoothness_1.png"
"E84404E6083B930A9B4EDE4B69F6CE17284E80093BBDAF921B11AF64BD2C549B","2","2857816","2857816","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01--Default_AlbedoTransparency01_0.png"
"E84404E6083B930A9B4EDE4B69F6CE17284E80093BBDAF921B11AF64BD2C549B","2","2857816","2857816","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\XiChuang_LinJian_01--Default_AlbedoTransparency01_1.png"
"B05248AA03FCE268A9539961288119FDD10B2892540BC6B185ADFEDED2AAECCA","2","2817017","2817017","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09---Default_AlbedoTransparency_0.png"
"B05248AA03FCE268A9539961288119FDD10B2892540BC6B185ADFEDED2AAECCA","2","2817017","2817017","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09---Default_AlbedoTransparency_1.png"
"B3F0FFEA4BD2FCC82094E5D3C9C96A0529A5D3CABAA0E6AA49011130160EAE74","2","2645843","2645843","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\ZHUANZ_01---Default_AlbedoTransparency_0.png"
"B3F0FFEA4BD2FCC82094E5D3C9C96A0529A5D3CABAA0E6AA49011130160EAE74","2","2645843","2645843","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\ZHUANZ_01---Default_AlbedoTransparency_1.png"
"65177D7E562C91E8F9CC3D2F9C6BB9C904B149753E1085D4C567B316C88BE414","2","2582346","2582346","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\sf_conc_floor_01_n_0.png"
"65177D7E562C91E8F9CC3D2F9C6BB9C904B149753E1085D4C567B316C88BE414","2","2582346","2582346","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\sf_conc_floor_01_n_1.png"
"90C9EB93582AECA16000DAFAAAA0E6AC3A69E39D771F8620F53FE56948D86465","2","2577469","2577469","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_1.png"
"90C9EB93582AECA16000DAFAAAA0E6AC3A69E39D771F8620F53FE56948D86465","2","2577469","2577469","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\jinshu02_3.png"
"AE37BDB1FB3471F5CDE79148097CFB1BA6BD083AABD1874F277BE8C5AC3426FA","2","2380051","2380051","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09 - Default_Normal_0.png"
"AE37BDB1FB3471F5CDE79148097CFB1BA6BD083AABD1874F277BE8C5AC3426FA","2","2380051","2380051","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZiBuJian_09 - Default_Normal_1.png"
"6FDE7553E5BE95311C8937E4E3FCE8EF8E9AA97D49A600D030DDF04837A51B3F","2","2218050","2218050","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01 - Default_Normal_0.png"
"6FDE7553E5BE95311C8937E4E3FCE8EF8E9AA97D49A600D030DDF04837A51B3F","2","2218050","2218050","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\JiaZi_01 - Default_Normal_1.png"
"7A6812D09F4FBC6D2ECE866BAF044E06998BE3D6741A147B7BFDD5A73806C911","2","2070570","2070570","D:\unity程序\tlfdj\Assets\OriginalContent\Texture2D\Sifu_0.png"
